"","gene_counts","ave_change_1_to_4_direction_conserved_in_8_of_8"
"1","NOG122559","0.0250927838722767"
"2","NOG262516","0.00749013725592777"
"3","COG4098","-0.249206187444079"
"4","COG3382","-0.355767080348655"
"5","NOG15690","-0.212791273312125"
"6","NOG133135","-0.245279889716821"
"7","NOG120817","-0.0847360759449862"
"8","COG0347","-0.258761645332181"
"9","bactNOG34577","-0.0669352331488705"
"10","NOG275556","-0.0121863967606348"
"11","NOG117241","-0.476574224562954"
"12","bactNOG61159","-0.191704563509971"
"13","NOG81848","-0.0989084849722953"
"14","NOG282392","-0.242898508651889"
"15","NOG278614","-0.280136112316588"
"16","NOG119697","-0.0649296992903028"
"17","NOG301677","-0.0104205204551416"
"18","COG0483","-0.609678220026804"
"19","NOG126190","-0.155459202396296"
"20","NOG150859","-0.0362380671182363"
"21","NOG85495","-0.396976112485324"
"22","NOG115648","-0.0676440511865479"
"23","NOG128410","-0.155387007888491"
"24","NOG134793","-0.266490425784818"
"25","NOG255098","-0.0588852817440141"
"26","COG2217","-0.461987473994828"
"27","bactNOG98918","-0.0260093847614695"
"28","NOG83840","-0.636698637659421"
"29","COG5506","-0.0536954118874379"
"30","firmNOG08137","-0.349144055710602"
"31","NOG258932","-0.113775192380397"
"32","NOG135503","-0.0328169829469506"
"33","COG1051","-0.404390550915605"
"34","bactNOG11411","-0.0148453391742127"
"35","NOG47825","-0.437186971369586"
"36","NOG278086","-0.0922390944130772"
"37","NOG85713","-0.334089827966228"
"38","COG4633","-0.243337853341951"
