"","gene_counts","ave_change_2_to_3_direction_conserved_in_8_of_8"
"1","NOG148527","0.0955726600020923"
"2","NOG76484","0.179927176287868"
"3","NOG291453","0.0464458775105717"
"4","NOG77348","0.490064908292611"
"5","COG1051","0.600112079253005"
"6","NOG240559","0.0717159315263818"
"7","NOG69506","-0.180777216197075"
"8","NOG15503","-0.0182579654303595"
"9","NOG255215","-0.0404332618341364"
"10","bactNOG08975","-0.0338036018175261"
"11","NOG284714","-0.230458240181684"
"12","NOG87971","-0.027807976439278"
"13","COG0218","-0.371561330989923"
"14","NOG294226","-0.1108717255952"
"15","COG4166","-0.528893875465082"
"16","bctoNOG00232","-0.259780244696255"
"17","COG4760","-0.378047442568788"
"18","NOG11950","-0.0147717722378287"
"19","COG1020","-0.652297941398567"
"20","COG3764","-0.306643148102809"
"21","NOG302329","-0.0159924786816661"
"22","COG1767","-0.0608352452327018"
"23","bactNOG09349","-0.181522473698724"
"24","NOG243896","-0.0872300946282652"
"25","NOG271389","-0.097642551201225"
"26","NOG244220","-0.0573336506966409"
"27","NOG277557","-0.0768656278724387"
"28","NOG274523","-0.540485697510034"
"29","NOG41676","-0.0138711642428299"
"30","NOG291131","-0.130134110689611"
"31","bactNOG16506","-0.0143925937587024"
"32","NOG299203","-0.0526203152973153"
"33","NOG253172","-0.201818234953548"
"34","NOG45527","-0.209208892197108"
"35","bactNOG00048","-0.0523571631993512"
"36","NOG28580","-0.181107048588286"
"37","NOG279673","-0.0746626419123329"
"38","bactNOG04413","-0.0165419745202007"
"39","NOG79641","-0.0230843808293438"
"40","NOG70280","-0.0982822016172617"
"41","COG1774","-0.265405171507055"
"42","NOG149829","-0.0970617805712609"
"43","COG0639","-0.254301826420526"
