"","gene_counts","ave_change_3_to_5_direction_conserved_in_8_of_8"
"1","NOG04339","0.148760869924163"
"2","COG0431","-0.869859821255866"
"3","NOG133113","-0.728132347675215"
"4","NOG68682","-0.276764755252834"
"5","NOG296109","-0.667411788979997"
"6","NOG75601","-0.0795620114915567"
"7","NOG80701","-0.79630789693919"
"8","NOG87702","-0.187289358022288"
"9","NOG149619","-0.020190707107412"
"10","COG3579","-0.917005063750955"
"11","NOG67470","-0.398987312415083"
"12","NOG76948","-0.1379452231845"
"13","NOG145717","-0.501965967180839"
"14","NOG249026","-0.0427649874831912"
"15","COG2311","-0.294957546907782"
"16","COG0483","-0.435841444714394"
"17","COG3676","-0.352590922326948"
"18","NOG310647","-1.3075511981005"
"19","COG0620","-0.469181461178789"
"20","NOG124704","-0.562449938082483"
"21","NOG135621","-0.0719386162066192"
"22","NOG260492","-0.622513663249171"
"23","bactNOG91563","-0.423338296932996"
"24","NOG269224","-0.161032708184268"
"25","COG3943","-0.57609354718829"
"26","bactNOG04087","-0.0437597484950586"
"27","NOG255725","-0.745860869633731"
"28","NOG71506","-0.0817850282121721"
"29","NOG77348","-0.626043356465781"
"30","COG2195","-0.443396311816999"
"31","NOG40219","-0.0533568801660519"
"32","NOG305080","-0.21867695425695"
"33","NOG13755","-0.288682765305773"
"34","NOG285751","-0.0909056412023374"
"35","NOG292400","-0.157112441409152"
"36","bactNOG00813","-0.215374206324946"
"37","COG1051","-0.957285534035648"
"38","NOG146836","-0.565218407684805"
"39","COG0492","-0.315026864134985"
"40","NOG47825","-0.413874411906496"
"41","NOG325392","-0.0618219247683352"
"42","NOG253160","-0.280185449596536"
"43","COG4649","-0.0478997070313087"
"44","NOG278017","-0.148642564980932"
"45","NOG69666","-0.0159741808161007"
"46","NOG74207","-0.0268707184824813"
