"","species","ave_change_2_to_3_direction_conserved_in_8_of_8"
"1","Salinispora_tropica","0.490796079957034"
"2","Bordetella_petrii","0.46110692902243"
"3","Salinispora_arenicola","0.459285769035059"
"4","Clostridium_sp._enrichment_culture_clone_7-25","0.372195665602843"
"5","Brucella_abortus","0.633043001269729"
"6","Cyanothece_sp._PCC_7425","0.778946288427594"
"7","Rhodococcus_erythropolis","0.487379025963755"
"8","Methylobacterium_sp._4-46","0.584216314935013"
"9","Chlorobaculum_parvum","0.412786927575556"
"10","Nitrobacter_winogradskyi","0.961310040206695"
"11","Pedobacter_heparinus","0.482535930798757"
"12","Shewanella_halifaxensis","0.642959725436401"
"13","Streptomyces_lavendulae","-0.0579018199932188"
"14","Helicobacter_bilis","-0.173241307130091"
"15","Bacillus_amyloliquefaciens","-0.481101016332556"
"16","Bacillus_cereus","-0.370058450863241"
"17","Bacillus_clausii","-0.3232912466385"
"18","Bacillus_licheniformis","-0.335788595835083"
"19","Brachyspira_intermedia","-0.296482730947636"
"20","Haemophilus_aegyptius","-0.140941120520522"
"21","Lactococcus_phage_B1","-0.112435629649322"
"22","Methanobrevibacter_arboriphilus","-0.487845504994691"
"23","Listeria_ivanovii","-0.420658186555144"
"24","Methylacidiphilum_infernorum","-0.445871251977614"
"25","Wolinella_succinogenes","-0.840854495378636"
"26","Helicobacter_cinaedi","-0.709555997755405"
