"","species","ave_change_1_to_3_direction_conserved_in_8_of_8"
"1","Caulobacter_vibrioides","0.671073522921729"
"2","Mycoplasma_synoviae","0.841422228421508"
"3","Tenacibaculum_maritimum","0.191095263766281"
"4","Shigella_sonnei","0.318819582535973"
"5","uncultured_beta_proteobacterium_CBNPD1_BAC_clone_578","0.508138613850319"
"6","uncultured_marine_gamma_proteobacterium_EBAC31A08","0.0242603587025438"
"7","Lactobacillus_mali","0.216887490238738"
"8","Gluconacetobacter_europaeus","0.0659472892462643"
"9","Desulfovibrio_magneticus","-0.667019194745039"
"10","Streptococcus_phage_PH10","-0.196196513990222"
"11","Pseudomonas_syringae_group_genomosp._3","-0.546612287274656"
"12","Paracoccus_methylutens","-0.154920762984357"
"13","Anabaena_sp._CH1","-0.235249224094711"
"14","Clostridium_saccharoperbutylacetonicum","-0.136322499490803"
